patch_index,row,col,split,valid_pixels,change_pixels,no_change_pixels,builtup_pixels,veg_loss_pixels,veg_gain_pixels,other_pixels,change_fraction,builtup_fraction,mean_uncertainty_all,mean_uncertainty_change,mean_uncertainty_nochange,centroid_x,centroid_y
0,0,0,train,65536,10754,54782,5414,225,5042,73,0.164093017578125,0.082611083984375,0.03689733147621155,0.09742450714111328,0.02501552365720272,76.76149018565516,28.939226877910382
1,0,256,train,65536,10338,55198,5994,89,4238,17,0.157745361328125,0.091461181640625,0.04392166808247566,0.08806771785020828,0.035653579980134964,76.78448705692863,28.939226877910382
2,0,512,train,65536,9439,56097,3594,40,5725,80,0.1440277099609375,0.054840087890625,0.032473817467689514,0.0783991664648056,0.024746323004364967,76.80748392820209,28.939226877910382
3,0,768,train,65536,9623,55913,4693,33,4856,41,0.1468353271484375,0.0716094970703125,0.03341534733772278,0.08696328848600388,0.024199390783905983,76.83048079947555,28.939226877910382
4,0,1024,train,65536,9186,56350,3769,93,5277,47,0.140167236328125,0.0575103759765625,0.02647997811436653,0.06378433108329773,0.020398741587996483,76.853477670749,28.939226877910382
5,0,1280,train,65536,9410,56126,5998,161,3091,160,0.143585205078125,0.091522216796875,0.028978925198316574,0.07867353409528732,0.0206472035497427,76.87647454202246,28.939226877910382
6,0,1536,train,65536,11600,53936,7497,314,3357,432,0.177001953125,0.1143951416015625,0.03107476979494095,0.08201371878385544,0.02011934481561184,76.89947141329593,28.939226877910382
7,0,1792,train,65536,10701,54835,5847,341,4435,78,0.1632843017578125,0.0892181396484375,0.042763955891132355,0.09747177362442017,0.0320877768099308,76.92246828456939,28.939226877910382
8,0,2048,train,65536,9298,56238,4554,67,4595,82,0.141876220703125,0.069488525390625,0.04543805867433548,0.11973708868026733,0.03315398097038269,76.94546515584284,28.939226877910382
9,0,2304,train,65536,9174,56362,4685,14,4470,5,0.139984130859375,0.0714874267578125,0.04664254188537598,0.11999846994876862,0.03470245376229286,76.9684620271163,28.939226877910382
10,0,2560,train,65536,11081,54455,5153,1,5922,5,0.1690826416015625,0.0786285400390625,0.03829193115234375,0.10280454903841019,0.025164317339658737,76.99145889838977,28.939226877910382
11,0,2816,train,65536,8238,57298,4069,18,4036,115,0.125701904296875,0.0620880126953125,0.02151576802134514,0.05931609496474266,0.016081038862466812,77.01445576966323,28.939226877910382
12,0,3072,train,65536,8341,57195,4136,28,4130,47,0.1272735595703125,0.0631103515625,0.02060624398291111,0.051432475447654724,0.016110721975564957,77.03745264093668,28.939226877910382
13,0,3328,train,65536,8808,56728,5380,919,1831,678,0.1343994140625,0.08209228515625,0.025996681302785873,0.06516491621732712,0.019915135577321053,77.06044951221014,28.939226877910382
14,0,3584,train,65536,7973,57563,4437,611,1898,1027,0.1216583251953125,0.0677032470703125,0.02683369442820549,0.07445833086967468,0.02023724839091301,77.0834463834836,28.939226877910382
15,0,3840,train,65536,8791,56745,5077,303,3099,312,0.1341400146484375,0.0774688720703125,0.025559812784194946,0.07062704861164093,0.018577946349978447,77.10644325475707,28.939226877910382
16,0,4096,train,65536,8636,56900,4202,236,3835,363,0.13177490234375,0.064117431640625,0.020239897072315216,0.05858584865927696,0.014419936574995518,77.12944012603053,28.939226877910382
17,0,4352,train,65536,9392,56144,4781,612,3248,751,0.143310546875,0.0729522705078125,0.020671945065259933,0.05472438782453537,0.014975513331592083,77.15243699730398,28.939226877910382
18,0,4608,train,65536,9720,55816,5706,692,2647,675,0.1483154296875,0.087066650390625,0.026735808700323105,0.06459558755159378,0.020142769441008568,77.17543386857744,28.939226877910382
19,0,4864,train,65536,11603,53933,6674,347,3908,674,0.1770477294921875,0.101837158203125,0.037552908062934875,0.10073704272508621,0.02395964041352272,77.1984307398509,28.939226877910382
20,0,5120,train,65536,9174,56362,5289,1892,1326,667,0.139984130859375,0.0807037353515625,0.03557702526450157,0.10490964353084564,0.024291807785630226,77.22142761112437,28.939226877910382
21,0,5376,train,65367,10444,54923,5387,2277,1233,1547,0.15977480991937829,0.08241161442317989,0.027294592931866646,0.06912589073181152,0.019340071827173233,77.24442448239782,28.939226877910382
22,0,5632,train,45251,5449,39802,1899,2892,33,625,0.12041722834854478,0.04196592340500763,0.0340084433555603,0.10063755512237549,0.024886738508939743,77.26742135367128,28.939226877910382
23,0,5888,train,47996,6362,41634,1991,3871,44,456,0.1325527127260605,0.041482623551962666,0.03499586507678032,0.10256960988044739,0.0246700718998909,77.29041822494474,28.939226877910382
24,0,6144,train,50595,6548,44047,2122,3914,153,359,0.12941990315248542,0.04194090325130942,0.03440102934837341,0.09511968493461609,0.025374634191393852,77.31341509621821,28.939226877910382
25,256,0,train,65536,11275,54261,6140,13,5073,49,0.1720428466796875,0.09368896484375,0.03281001001596451,0.08592966943979263,0.021772168576717377,76.76149018565516,28.916230006636923
26,256,256,train,65536,10927,54609,5447,51,5396,33,0.1667327880859375,0.0831146240234375,0.03367612138390541,0.08382598310709,0.023641370236873627,76.78448705692863,28.916230006636923
27,256,512,train,65536,9499,56037,4654,27,4746,72,0.1449432373046875,0.071014404296875,0.026180196553468704,0.07307227700948715,0.018231380730867386,76.80748392820209,28.916230006636923
28,256,768,train,65536,10322,55214,5273,11,5003,35,0.157501220703125,0.0804595947265625,0.030308810994029045,0.0850660502910614,0.020072204992175102,76.83048079947555,28.916230006636923
29,256,1024,train,65536,8996,56540,3558,26,5300,112,0.13726806640625,0.054290771484375,0.02852417714893818,0.08099611103534698,0.02017544023692608,76.853477670749,28.916230006636923
30,256,1280,train,65536,9094,56442,4826,255,3922,91,0.138763427734375,0.073638916015625,0.03825478255748749,0.0942164734005928,0.02923816628754139,76.87647454202246,28.916230006636923
31,256,1536,train,65536,9285,56251,5055,91,4055,84,0.1416778564453125,0.0771331787109375,0.03094657137989998,0.07953029125928879,0.022927159443497658,76.89947141329593,28.916230006636923
32,256,1792,train,65536,10047,55489,4288,201,5477,81,0.1533050537109375,0.0654296875,0.03234817460179329,0.07850331813097,0.023991188034415245,76.92246828456939,28.916230006636923
33,256,2048,train,65536,10195,55341,5148,6,5016,25,0.1555633544921875,0.07855224609375,0.03657149523496628,0.11076764017343521,0.022902972996234894,76.94546515584284,28.916230006636923
34,256,2304,train,65536,10656,54880,5749,32,4837,38,0.16259765625,0.0877227783203125,0.042020753026008606,0.10903631895780563,0.029008403420448303,76.9684620271163,28.916230006636923
35,256,2560,train,65536,10382,55154,5279,9,5089,5,0.158416748046875,0.0805511474609375,0.03320721909403801,0.08220009505748749,0.023984968662261963,76.99145889838977,28.916230006636923
36,256,2816,train,65536,9324,56212,4520,9,4776,19,0.14227294921875,0.0689697265625,0.027153514325618744,0.07028281688690186,0.019999569281935692,77.01445576966323,28.916230006636923
37,256,3072,train,65536,9634,55902,4850,10,4655,119,0.147003173828125,0.074005126953125,0.025175053626298904,0.07094483822584152,0.01728721149265766,77.03745264093668,28.916230006636923
38,256,3328,train,65536,8431,57105,4859,193,3086,293,0.1286468505859375,0.0741424560546875,0.023685956373810768,0.06423816084861755,0.01769881509244442,77.06044951221014,28.916230006636923
39,256,3584,train,65536,8463,57073,4162,36,4155,110,0.1291351318359375,0.063507080078125,0.020367393270134926,0.04941928759217262,0.01605946756899357,77.0834463834836,28.916230006636923
40,256,3840,train,65536,9826,55710,4374,101,5293,58,0.149932861328125,0.066741943359375,0.02832205966114998,0.07410036027431488,0.020247790962457657,77.10644325475707,28.916230006636923
41,256,4096,train,65536,7505,58031,4110,476,2363,556,0.1145172119140625,0.062713623046875,0.02133742906153202,0.05962733179330826,0.01638549380004406,77.12944012603053,28.916230006636923
42,256,4352,train,65536,8370,57166,5090,766,1753,761,0.127716064453125,0.077667236328125,0.020515363663434982,0.06499283015727997,0.014003164134919643,77.15243699730398,28.916230006636923
43,256,4608,train,65536,10336,55200,5712,297,3705,622,0.15771484375,0.087158203125,0.024347929283976555,0.06698212027549744,0.01636483147740364,77.17543386857744,28.916230006636923
44,256,4864,train,65536,11454,54082,6477,26,4651,300,0.174774169921875,0.0988311767578125,0.03287573531270027,0.07302263379096985,0.024373045191168785,77.1984307398509,28.916230006636923
45,256,5120,train,65536,11863,53673,7291,581,3745,246,0.1810150146484375,0.1112518310546875,0.050590306520462036,0.1157652959227562,0.036185093224048615,77.22142761112437,28.916230006636923
46,256,5376,train,65536,11485,54051,6456,561,4173,295,0.1752471923828125,0.0985107421875,0.027410507202148438,0.06789925694465637,0.018807275220751762,77.24442448239782,28.916230006636923
47,256,5632,train,58118,8141,49977,3216,759,3677,489,0.1400770845521181,0.05533569634192505,0.030590016394853592,0.08053655922412872,0.022453973069787025,77.26742135367128,28.916230006636923
48,256,5888,train,52868,6293,46575,2270,809,2583,631,0.11903230687750624,0.04293712642808504,0.03115566447377205,0.09074455499649048,0.023104285821318626,77.29041822494474,28.916230006636923
49,256,6144,train,61334,8075,53259,3677,2177,1721,500,0.13165617765024293,0.0599504353213552,0.030502306297421455,0.08929892629384995,0.021587705239653587,77.31341509621821,28.916230006636923
50,512,0,train,65536,9955,55581,4457,64,5418,16,0.1519012451171875,0.0680084228515625,0.032827891409397125,0.09258755296468735,0.022124459967017174,76.76149018565516,28.893233135363463
51,512,256,train,65536,9047,56489,3886,17,5138,6,0.1380462646484375,0.059295654296875,0.01983030140399933,0.05499792471528053,0.01419802661985159,76.78448705692863,28.893233135363463
52,512,512,train,65536,8890,56646,5021,30,3761,78,0.135650634765625,0.0766143798828125,0.024644799530506134,0.07028044015169144,0.017482759431004524,76.80748392820209,28.893233135363463
53,512,768,train,65536,9532,56004,4940,71,4376,145,0.14544677734375,0.07537841796875,0.020217539742588997,0.05698038265109062,0.01396042387932539,76.83048079947555,28.893233135363463
54,512,1024,train,65536,8854,56682,5272,292,2879,411,0.135101318359375,0.0804443359375,0.02729407511651516,0.0695616751909256,0.02069167234003544,76.853477670749,28.893233135363463
55,512,1280,train,65536,10701,54835,4754,122,5805,20,0.1632843017578125,0.072540283203125,0.031929515302181244,0.09208168834447861,0.020190874114632607,76.87647454202246,28.893233135363463
56,512,1536,train,65536,10373,55163,5498,60,4656,159,0.1582794189453125,0.083892822265625,0.022847376763820648,0.06505561619997025,0.014910425059497356,76.89947141329593,28.893233135363463
57,512,1792,train,65536,9053,56483,4519,23,4426,85,0.1381378173828125,0.0689544677734375,0.02561076357960701,0.06872601807117462,0.01870032586157322,76.92246828456939,28.893233135363463
58,512,2048,train,65536,7360,58176,3385,48,3810,117,0.1123046875,0.0516510009765625,0.0248865969479084,0.06380655616521835,0.019962729886174202,76.94546515584284,28.893233135363463
59,512,2304,train,65536,8375,57161,3572,41,4661,101,0.1277923583984375,0.05450439453125,0.02155241370201111,0.058499258011579514,0.016139110550284386,76.9684620271163,28.893233135363463
60,512,2560,train,65536,9640,55896,4718,35,4801,86,0.1470947265625,0.071990966796875,0.02500763349235058,0.06720197200775146,0.01773066632449627,76.99145889838977,28.893233135363463
61,512,2816,train,65536,10226,55310,5113,88,5021,4,0.156036376953125,0.0780181884765625,0.03144045174121857,0.08032483607530594,0.022402448579669,77.01445576966323,28.893233135363463
62,512,3072,train,65536,10367,55169,4889,48,5403,27,0.1581878662109375,0.0746002197265625,0.03507952019572258,0.09569600224494934,0.023688865825533867,77.03745264093668,28.893233135363463
63,512,3328,train,65536,8754,56782,4612,103,3931,108,0.133575439453125,0.07037353515625,0.02662581577897072,0.07145217061042786,0.019714998081326485,77.06044951221014,28.893233135363463
64,512,3584,train,65536,8524,57012,5035,369,2867,253,0.13006591796875,0.0768280029296875,0.022571304813027382,0.0597703754901886,0.017009584233164787,77.0834463834836,28.893233135363463
65,512,3840,train,65536,8311,57225,4716,481,2545,569,0.1268157958984375,0.07196044921875,0.023560097441077232,0.05881711095571518,0.01843959279358387,77.10644325475707,28.893233135363463
66,512,4096,train,65536,7985,57551,4600,628,1883,874,0.1218414306640625,0.0701904296875,0.028429169207811356,0.07221534103155136,0.022353988140821457,77.12944012603053,28.893233135363463
67,512,4352,train,65536,9189,56347,4720,59,4265,145,0.1402130126953125,0.072021484375,0.021061988547444344,0.057486727833747864,0.015121886506676674,77.15243699730398,28.893233135363463
68,512,4608,train,65536,9827,55709,5149,67,4402,209,0.1499481201171875,0.0785675048828125,0.022704847157001495,0.05812162160873413,0.016457371413707733,77.17543386857744,28.893233135363463
69,512,4864,train,65536,10988,54548,6764,271,3334,619,0.16766357421875,0.10321044921875,0.027140017598867416,0.06499283015727997,0.019515052437782288,77.1984307398509,28.893233135363463
70,512,5120,train,65536,11845,53691,7015,290,4515,25,0.1807403564453125,0.1070404052734375,0.034627169370651245,0.080782450735569,0.024444658309221268,77.22142761112437,28.893233135363463
71,512,5376,train,65536,10108,55428,5464,103,4451,90,0.15423583984375,0.0833740234375,0.027406800538301468,0.07394162565469742,0.01892058551311493,77.24442448239782,28.893233135363463
72,512,5632,train,65536,10279,55257,4675,30,5512,62,0.1568450927734375,0.0713348388671875,0.02965456247329712,0.07868646830320358,0.02053355984389782,77.26742135367128,28.893233135363463
73,512,5888,train,65536,10485,55051,4922,74,5390,99,0.1599884033203125,0.075103759765625,0.025017771869897842,0.06404846906661987,0.017583994194865227,77.29041822494474,28.893233135363463
74,512,6144,train,65536,10250,55286,5131,6,5071,42,0.156402587890625,0.0782928466796875,0.028962552547454834,0.08237107843160629,0.019060637801885605,77.31341509621821,28.893233135363463
75,768,0,train,65536,11087,54449,5477,183,5377,50,0.1691741943359375,0.0835723876953125,0.043035175651311874,0.0938824713230133,0.03268156200647354,76.76149018565516,28.870236264090003
76,768,256,train,65536,9519,56017,4775,13,4656,75,0.1452484130859375,0.0728607177734375,0.02517387457191944,0.06948379427194595,0.01764426752924919,76.78448705692863,28.870236264090003
77,768,512,train,65536,9987,55549,6176,166,3466,179,0.1523895263671875,0.09423828125,0.027020635083317757,0.07696236670017242,0.01804174855351448,76.80748392820209,28.870236264090003
78,768,768,train,65536,11071,54465,6593,236,4007,235,0.1689300537109375,0.1006011962890625,0.029106616973876953,0.06703070551156998,0.021397855132818222,76.83048079947555,28.870236264090003
79,768,1024,train,65536,10805,54731,6020,214,4338,233,0.1648712158203125,0.09185791015625,0.025721143931150436,0.06411850452423096,0.018140733242034912,76.853477670749,28.870236264090003
